Unnamed: 0,~導入してから「しまった…」「困った…」にならないために~,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,Eラーニングを比較検討する際に「これだけは確認してほしい」チェックリスト,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,■Eラーニングベンダーとの面談時、このシートに質問しながらご記入ください,,,,,,,,,■記入例（SmartBoardingの場合）,,,,,,
,No.,カテゴリー,項目,説明・趣旨,質問例,ご検討中のEラーニング名：,,,,No.,カテゴリー,項目,説明・趣旨,質問例,Eラーニング「Smart Boarding」,
,1,対象,対象企業規模,対象企業の規模を把握し自社に適しているか判断,・導入企業の規模は中小ですか？大手ですか？,,,,,1,対象,対象企業規模,対象企業の規模を把握し自社に適しているか判断,・導入企業の規模は中小ですか？大手ですか？,-,"中小企業（従業員30名～100人以内）が8割。
ただ大手企業の導入事例も増えてきている"
,2,,研修対象者,対象とする研修の階層を把握し、自社に適しているか判断,・どんな階層に向けた研修プログラムがありますか？　　　　　　　　　,,,,,2,,研修対象者,対象とする研修の階層を把握し、自社に適しているか判断,・どんな階層に向けた研修プログラムがありますか？　　　　　　　　　,-,新人～マネージャークラスまで幅広い階層別に対応
,3,,業種,特徴的な導入職種,・導入企業に多い業種は何ですか？,,,,,3,,業種,特徴的な導入職種,・導入企業に多い業種は何ですか？,-,"＊全業種（製造・流通・IT・小売など業種を問わず）
"
,4,,運用担当者,想定する運用者の確認,・導入企業は主にどの部門・どんな方が運用していますか？,,,,,4,,運用担当者,想定する運用者の確認,・導入企業は主にどの部門・どんな方が運用していますか？,-,"基本的には人事担当
また、経営者・経営幹部・現場マネージャーが担当するケースもあり "
,1,仕様,対応OS,動作環境のOSを確認,"・対応のOSは何ですか？
・自社で利用しているOSで動作しますか？",,,,,1,仕様,対応OS,動作環境のOSを確認,"・対応のOSは何ですか？
・自社で利用しているOSで動作しますか？",〇,Chromeのみ動作環境を保証のみ
,2,,対応機種,対応している機種の確認,"・PCとスマホ両方に対応していますか？
・対象となる機種はありますか？",,,,,2,,対応機種,対応している機種の確認,"・PCとスマホ両方に対応していますか？
・対象となる機種はありますか？",〇,"基本的には、MAC, Windows, Android, iOS等のPCとスマホに対応"
